time,count,speed
2024-02-25T12:47:59.000+01:00,60,67
2024-02-25T13:06:59.000+01:00,60,67
2024-02-25T13:21:59.000+01:00,60,71
2024-02-25T13:44:59.000+01:00,60,72
2024-02-25T13:50:59.000+01:00,60,72
2024-02-25T14:00:59.000+01:00,60,71
2024-02-25T14:02:59.000+01:00,60,68
2024-02-25T14:15:59.000+01:00,60,73
2024-02-25T14:20:59.000+01:00,60,75
2024-02-25T14:25:59.000+01:00,60,81
2024-02-25T15:01:59.000+01:00,60,75
2024-02-25T15:11:59.000+01:00,60,71
2024-02-25T15:14:59.000+01:00,120,72
2024-02-25T15:20:59.000+01:00,120,76
2024-02-25T15:24:59.000+01:00,60,72
2024-02-25T15:30:59.000+01:00,60,79
2024-02-25T15:42:59.000+01:00,60,76
2024-02-25T15:51:59.000+01:00,60,72
2024-02-25T15:56:59.000+01:00,60,69
2024-02-25T15:58:59.000+01:00,120,78
2024-02-25T16:08:59.000+01:00,60,78
2024-02-25T16:13:59.000+01:00,60,71
2024-02-25T16:21:59.000+01:00,60,76
2024-02-25T16:22:59.000+01:00,60,76
2024-02-25T16:39:59.000+01:00,60,73
2024-02-25T16:53:59.000+01:00,120,67
2024-02-25T17:06:59.000+01:00,60,73
2024-02-25T17:10:59.000+01:00,60,80
2024-02-25T17:20:59.000+01:00,60,68
2024-02-25T17:22:59.000+01:00,60,72
2024-02-25T17:41:59.000+01:00,60,69
2024-02-25T17:42:59.000+01:00,60,68
2024-02-25T17:47:59.000+01:00,60,76
2024-02-25T17:52:59.000+01:00,60,66
2024-02-25T18:01:59.000+01:00,60,72
2024-02-25T18:05:59.000+01:00,60,82
2024-02-25T18:14:59.000+01:00,60,72
2024-02-25T18:22:59.000+01:00,120,77
2024-02-25T18:31:59.000+01:00,60,77
2024-02-25T18:33:59.000+01:00,60,71
2024-02-25T18:38:59.000+01:00,120,77
2024-02-25T18:46:59.000+01:00,60,78
2024-02-25T18:51:59.000+01:00,60,71
2024-02-25T18:53:59.000+01:00,60,80
2024-02-25T18:59:59.000+01:00,60,81
2024-02-25T19:05:59.000+01:00,60,75
2024-02-25T19:10:59.000+01:00,60,77
2024-02-25T19:16:59.000+01:00,60,86
2024-02-25T19:24:59.000+01:00,60,75
2024-02-25T19:29:59.000+01:00,60,81
2024-02-25T19:35:59.000+01:00,60,73
2024-02-25T19:41:59.000+01:00,120,76
2024-02-25T19:42:59.000+01:00,60,68
2024-02-25T19:52:59.000+01:00,60,69
2024-02-25T20:00:59.000+01:00,60,77
2024-02-25T20:04:59.000+01:00,60,65
2024-02-25T20:09:59.000+01:00,120,76
2024-02-25T20:16:59.000+01:00,60,73
2024-02-25T20:20:59.000+01:00,120,76
